phase,label,backend,batch,simd,omp,mpi,ranks,threads,nx,ny,nz,steps,px,py,pz,wall_ms,mpi_ms,eta_ms,zeta_ms,u_ms,psi_ms,philow_ms,phihigh_ms,pressure_ms,porosity_ms,untimed_ms,cellstep_1e8s,rss_mb,l2_ux,l2_p,g_ms,node,status,note
10_matrix_threads,schur 64^3 s0 seriale,schur,64,0,0,0,1,1,64,64,64,20,1,1,1,67.184,0.000,27.153,14.851,15.711,3.163,2.878,3.203,0.225,0.000,0.000,25.629,33.2,,,10.977,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T(1),schur,64,0,0,1,1,1,64,64,64,20,1,1,1,67.316,0.000,27.197,14.862,15.763,3.187,2.868,3.187,0.247,0.000,0.005,25.679,54.2,,,10.999,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=1,schur,64,0,1,1,1,1,64,64,64,20,1,1,1,73.548,0.000,29.289,16.633,18.054,3.185,2.911,3.220,0.252,0.000,0.004,28.057,54.2,,,11.269,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=2,schur,64,0,1,1,1,2,64,64,64,20,1,1,1,37.055,0.000,14.793,8.374,9.063,1.651,1.457,1.587,0.127,0.000,0.003,14.135,53.4,,,5.725,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=4,schur,64,0,1,1,1,4,64,64,64,20,1,1,1,19.858,0.000,8.059,4.415,4.747,0.917,0.749,0.885,0.082,0.000,0.004,7.575,54.2,,,3.219,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=7,schur,64,0,1,1,1,7,64,64,64,20,1,1,1,12.559,0.000,4.934,2.787,3.077,0.591,0.491,0.618,0.058,0.000,0.003,4.791,52.5,,,2.013,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=8,schur,64,0,1,1,1,8,64,64,64,20,1,1,1,12.627,0.000,4.421,2.396,4.036,0.581,0.414,0.699,0.077,0.000,0.003,4.817,50.8,,,1.865,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=14,schur,64,0,1,1,1,14,64,64,64,20,1,1,1,7.004,0.000,2.717,1.466,1.754,0.380,0.274,0.361,0.049,0.000,0.003,2.672,56.0,,,1.203,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=28,schur,64,0,1,1,1,28,64,64,64,20,1,1,1,5.634,0.000,2.114,1.152,1.438,0.382,0.210,0.281,0.052,0.000,0.005,2.149,47.2,,,0.994,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=56,schur,64,0,1,1,1,56,64,64,64,20,1,1,1,5.079,0.000,1.736,0.906,1.527,0.401,0.158,0.280,0.065,0.000,0.006,1.938,61.6,,,0.803,cpu03,ok,
10_matrix_threads,schur 64^3 s0 T=112,schur,64,0,1,1,1,112,64,64,64,20,1,1,1,4.825,0.000,2.193,0.842,1.049,0.369,0.122,0.170,0.073,0.000,0.007,1.840,24.5,,,1.219,cpu03,ok,
10_matrix_threads,schur 64^3 s1 seriale,schur,64,1,0,0,1,1,64,64,64,20,1,1,1,45.177,0.000,27.136,4.334,4.260,3.153,2.918,3.147,0.229,0.000,0.000,17.234,33.2,,,10.015,cpu03,ok,
10_matrix_threads,schur 64^3 s1 T(1),schur,64,1,0,1,1,1,64,64,64,20,1,1,1,45.580,0.000,27.281,4.415,4.426,3.175,2.867,3.170,0.242,0.000,0.004,17.387,54.2,,,10.091,cpu03,ok,
10_matrix_threads,schur 64^3 s1 T=1,schur,64,1,1,1,1,1,64,64,64,20,1,1,1,47.312,0.000,28.788,4.563,4.405,3.211,2.931,3.159,0.250,0.000,0.005,18.048,55.1,,,9.953,cpu03,ok,
10_matrix_threads,schur 64^3 s1 T=2,schur,64,1,1,1,1,2,64,64,64,20,1,1,1,24.525,0.000,14.957,2.359,2.380,1.637,1.462,1.587,0.139,0.000,0.004,9.355,53.4,,,5.405,cpu03,ok,
10_matrix_threads,schur 64^3 s1 T=4,schur,64,1,1,1,1,4,64,64,64,20,1,1,1,13.269,0.000,8.086,1.257,1.283,0.893,0.755,0.897,0.094,0.000,0.004,5.062,54.2,,,3.035,cpu03,ok,
10_matrix_threads,schur 64^3 s1 T=7,schur,64,1,1,1,1,7,64,64,64,20,1,1,1,8.318,0.000,4.970,0.752,0.814,0.574,0.498,0.626,0.079,0.000,0.005,3.173,53.4,,,1.936,cpu03,ok,
