case,K,N,dy,sqrtK_over_dy,rel_l2,linf_ux,linf_uyuz,porous_max_num,porous_max_exact,status,rate
uniform,1,16,6.4516129032e-02,15.5000,2.2399388804e-03,3.9858355951e-03,1.8250031493e-04,,,ok,nan
uniform,1,32,3.1746031746e-02,31.5000,5.4618061724e-04,1.0400199763e-03,4.4364257581e-05,,,ok,1.99007
uniform,1,64,1.5748031496e-02,63.5000,1.3463102374e-04,2.6497347967e-04,1.0942203414e-05,,,ok,1.99759
uniform,1,128,7.8431372549e-03,127.5000,3.3378015444e-05,6.5654085352e-05,2.7172743649e-06,,,ok,2.0007
uniform,1,256,3.9138943249e-03,255.5000,8.2804464188e-06,1.7039670955e-05,6.7986403739e-07,,,ok,2.00545
uniform,1,512,1.9550342131e-03,511.5000,2.0624839214e-06,4.3066369207e-06,1.7018077321e-07,,,ok,2.0025
uniform,1e-1,16,6.4516129032e-02,4.9015,3.6240069535e-03,7.1090535184e-03,2.9355773557e-04,,,ok,nan
uniform,1e-1,32,3.1746031746e-02,9.9612,8.8997908488e-04,1.9026958843e-03,7.1875689041e-05,,,ok,1.98004
uniform,1e-1,64,1.5748031496e-02,20.0805,2.1975470318e-04,4.9031779492e-04,1.7734610451e-05,,,ok,1.99512
uniform,1e-1,128,7.8431372549e-03,40.3190,5.4492914467e-05,1.2097132122e-04,4.4064617974e-06,,,ok,2.00041
uniform,1e-1,256,3.9138943249e-03,80.7962,1.3506906897e-05,3.1630522049e-05,1.1035953991e-06,,,ok,2.0067
uniform,1e-1,512,1.9550342131e-03,161.7505,3.3628803098e-06,7.9859193167e-06,2.7642716392e-07,,,ok,2.0031
uniform,1e-2,16,6.4516129032e-02,1.5500,1.0927400505e-02,3.1123103126e-02,8.0632111006e-04,,,ok,nan
uniform,1e-2,32,3.1746031746e-02,3.1500,2.9179925436e-03,1.0049599769e-02,2.1097822331e-04,,,ok,1.86192
uniform,1e-2,64,1.5748031496e-02,6.3500,7.3585107585e-04,2.8048907459e-03,5.2990729226e-05,,,ok,1.96508
uniform,1e-2,128,7.8431372549e-03,12.7500,1.8309491873e-04,7.1680792924e-04,1.3242010616e-05,,,ok,1.99551
uniform,1e-2,256,3.9138943249e-03,25.5500,4.5085889926e-05,1.8500596689e-04,3.3481592124e-06,,,ok,2.01615
uniform,1e-2,512,1.9550342131e-03,51.1500,1.1188238060e-05,4.6396449860e-05,8.4367723234e-07,,,ok,2.00786
uniform,1e-3,16,6.4516129032e-02,0.4902,2.2424260209e-02,7.4088770093e-02,1.3032864186e-03,,,ok,nan
uniform,1e-3,32,3.1746031746e-02,0.9961,1.0955390964e-02,5.3704652499e-02,5.6636353705e-04,,,ok,1.0101
uniform,1e-3,64,1.5748031496e-02,2.0080,3.3505219832e-03,2.1157797339e-02,1.6697656804e-04,,,ok,1.68991
uniform,1e-3,128,7.8431372549e-03,4.0319,8.7189202910e-04,6.2235467302e-03,4.3871790252e-05,,,ok,1.93122
uniform,1e-3,256,3.9138943249e-03,8.0796,2.1111878592e-04,1.5444121677e-03,1.1643086603e-05,,,ok,2.04033
uniform,1e-3,512,1.9550342131e-03,16.1751,5.1803372131e-05,3.8395776266e-04,3.0134355192e-06,,,ok,2.02408
uniform,1e-4,16,6.4516129032e-02,0.1550,5.6261567433e-03,2.1292444336e-02,3.2217204073e-04,,,ok,nan
uniform,1e-4,32,3.1746031746e-02,0.3150,1.1905515203e-02,5.0569040451e-02,4.2632723200e-04,,,ok,-1.05701
uniform,1e-4,64,1.5748031496e-02,0.6350,1.0218033190e-02,7.3578835145e-02,3.2749496143e-04,,,ok,0.218026
uniform,1e-4,128,7.8431372549e-03,1.2750,3.8775054219e-03,3.8213140422e-02,1.3047055357e-04,,,ok,1.39004
uniform,1e-4,256,3.9138943249e-03,2.5550,9.6140474574e-04,9.3238494651e-03,4.2979163400e-05,,,ok,2.00624
uniform,1e-4,512,1.9550342131e-03,5.1150,2.3007712652e-04,2.3907267276e-03,1.2029258978e-05,,,ok,2.06012
layer,1,16,6.4516129032e-02,15.5000,1.7644794627e-03,6.1466142089e-03,2.2703675489e-04,1.0876678672e+00,1.0881375965e+00,ok,nan
layer,1,32,3.1746031746e-02,31.5000,4.5833068130e-04,1.6029442181e-03,4.3117519889e-05,1.2071029369e+00,1.2066260629e+00,ok,1.9009
layer,1,64,1.5748031496e-02,63.5000,1.8563025331e-04,4.8425567900e-04,2.0986181248e-05,1.2610072914e+00,1.2605775294e+00,ok,1.28925
layer,1,128,7.8431372549e-03,127.5000,9.7119111526e-05,2.7783743298e-04,1.3537571354e-05,1.2865617225e+00,1.2862977006e+00,ok,0.929337
layer,1,256,3.9138943249e-03,255.5000,5.1423176092e-05,1.4714218729e-04,7.5663721217e-06,1.2989965068e+00,1.2988519446e+00,ok,0.914751
layer,1,512,1.9550342131e-03,511.5000,2.6612366605e-05,7.5554356898e-05,3.9881405984e-06,1.3051287937e+00,1.3050535882e+00,ok,0.948983
layer,1e-1,16,6.4516129032e-02,4.9015,6.8979042906e-03,1.8267667499e-02,8.8028930567e-04,9.3538932394e-01,9.2465239954e-01,ok,nan
layer,1e-1,32,3.1746031746e-02,9.9612,3.6383815908e-03,9.8382661910e-03,4.9324887875e-04,1.0459604160e+00,1.0381646031e+00,ok,0.902039
layer,1e-1,64,1.5748031496e-02,20.0805,1.8830508361e-03,5.0778885443e-03,2.6049004267e-04,1.0969245778e+00,1.0923753810e+00,ok,0.93951
layer,1e-1,128,7.8431372549e-03,40.3190,9.5931359427e-04,2.5744464764e-03,1.3384463667e-04,1.1213604421e+00,1.1189166962e+00,ok,0.967513
layer,1e-1,256,3.9138943249e-03,80.7962,4.8431400457e-04,1.2908224297e-03,6.7804729931e-05,1.1333207998e+00,1.1320546627e+00,ok,0.983281
layer,1e-1,512,1.9550342131e-03,161.7505,2.4334685051e-04,6.4578383103e-04,3.4124443496e-05,1.1392337153e+00,1.1385914732e+00,ok,0.99153
layer,1e-2,16,6.4516129032e-02,1.5500,3.8728063234e-02,8.1346635661e-02,3.7985092944e-03,4.0731883067e-01,3.6815199783e-01,ok,nan
layer,1e-2,32,3.1746031746e-02,3.1500,1.8449319028e-02,4.0004500038e-02,1.8506607098e-03,4.8597826993e-01,4.5816280146e-01,ok,1.04567
layer,1e-2,64,1.5748031496e-02,6.3500,9.0123033500e-03,1.9675309500e-02,9.0864063423e-04,5.2748109815e-01,5.1106902868e-01,ok,1.02194
layer,1e-2,128,7.8431372549e-03,12.7500,4.4563938126e-03,9.7279463974e-03,4.5057923443e-04,5.4871579449e-01,5.3981334984e-01,ok,1.01029
layer,1e-2,256,3.9138943249e-03,25.5500,2.2162276722e-03,4.8096173239e-03,2.2430538417e-04,5.5944087454e-01,5.5480021921e-01,ok,1.00493
layer,1e-2,512,1.9550342131e-03,51.1500,1.1051850208e-03,2.3884604050e-03,1.1191448805e-04,5.6481177085e-01,5.6245273605e-01,ok,1.0024
layer,1e-3,16,6.4516129032e-02,0.4902,7.9726190152e-02,1.4515511588e-01,5.8087148030e-03,7.0503576852e-02,4.1244071186e-02,over-threshold,nan
layer,1e-3,32,3.1746031746e-02,0.9961,3.4455038148e-02,6.7159759150e-02,2.5182810949e-03,1.0830528677e-01,8.1200174154e-02,ok,1.18303
layer,1e-3,64,1.5748031496e-02,2.0080,1.5465699429e-02,3.0836211381e-02,1.1367920715e-03,1.3751326692e-01,1.1850833089e-01,ok,1.14261
layer,1e-3,128,7.8431372549e-03,4.0319,7.2640971324e-03,1.4546265696e-02,5.3463503611e-04,1.5539145971e-01,1.4400909817e-01,ok,1.08407
layer,1e-3,256,3.9138943249e-03,8.0796,3.5138626318e-03,6.9648788303e-03,2.5872737388e-04,1.6517915871e-01,1.5891683651e-01,ok,1.04477
layer,1e-3,512,1.9550342131e-03,16.1751,1.7274538086e-03,3.4298861131e-03,1.2721658287e-04,1.7023259440e-01,1.6697657594e-01,ok,1.02297
layer,1e-4,16,6.4516129032e-02,0.1550,1.1264673285e-01,1.9476104270e-01,7.3032213288e-03,7.8245203085e-03,1.6081865073e-03,over-threshold,nan
layer,1e-4,32,3.1746031746e-02,0.3150,5.0624698194e-02,9.5402344972e-02,3.2698354890e-03,1.5392552423e-02,4.6935073174e-03,over-threshold,1.12786
layer,1e-4,64,1.5748031496e-02,0.6350,2.1576027655e-02,4.2250804607e-02,1.3972426440e-03,2.6170450384e-02,1.4685616426e-02,ok,1.21654
layer,1e-4,128,7.8431372549e-03,1.2750,9.3001604588e-03,1.8405092791e-02,6.0367926241e-04,3.6933996160e-02,2.7910073121e-02,ok,1.20726
layer,1e-4,256,3.9138943249e-03,2.5550,4.2112803259e-03,8.3340639963e-03,2.7361688767e-04,4.4621313419e-02,3.8778274011e-02,ok,1.13978
layer,1e-4,512,1.9550342131e-03,5.1150,1.9910730475e-03,3.9474948863e-03,1.2940583743e-04,4.9022510140e-02,4.5762576199e-02,ok,1.07919
