backend,processes,threads,simd,L2_ux,L2_uy,L2_uz,L2_p
schur,1,1,0,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
schur,1,1,1,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
schur,1,2,0,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
schur,1,2,1,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
schur,8,1,0,1.12796675163273326e-03,1.36898283790495151e-03,1.52086823455524641e-03,3.11096498076220973e-02
schur,8,1,1,1.12796675163273326e-03,1.36898283790495151e-03,1.52086823455524641e-03,3.11096498076220973e-02
schur,8,2,0,1.12796675163273326e-03,1.36898283790495151e-03,1.52086823455524641e-03,3.11096498076220973e-02
schur,8,2,1,1.12796675163273326e-03,1.36898283790495151e-03,1.52086823455524641e-03,3.11096498076220973e-02
pipeline,1,1,0,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
pipeline,1,1,1,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
pipeline,1,2,0,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
pipeline,1,2,1,1.12796675163273261e-03,1.36898283790495259e-03,1.52086823455526159e-03,3.11096498076221632e-02
pipeline,8,1,0,1.12796675163273088e-03,1.36898283790495346e-03,1.52086823455525703e-03,3.11096498076222916e-02
pipeline,8,1,1,1.12796675163273088e-03,1.36898283790495346e-03,1.52086823455525703e-03,3.11096498076222916e-02
pipeline,8,2,0,1.12796675163273088e-03,1.36898283790495346e-03,1.52086823455525703e-03,3.11096498076222916e-02
pipeline,8,2,1,1.12796675163273088e-03,1.36898283790495346e-03,1.52086823455525703e-03,3.11096498076222916e-02
